iter	Passed	Remaining
0	0	82
1	0	79
2	1	77
3	1	76
4	1	74
5	2	73
6	2	72
7	2	71
8	3	70
9	3	69
10	3	67
11	4	66
12	4	65
13	4	64
14	5	63
15	5	63
16	5	62
17	6	61
18	6	61
19	6	60
20	7	60
21	7	59
22	7	59
23	8	58
24	8	58
25	8	57
26	8	57
27	9	56
28	9	56
29	9	56
30	10	55
31	10	55
32	10	54
33	11	54
34	11	54
35	11	53
36	12	53
37	12	52
38	12	52
39	13	52
40	13	51
41	13	51
42	14	51
43	14	51
44	14	50
45	15	50
46	15	50
47	15	49
48	16	49
49	16	49
50	16	48
51	17	48
52	17	48
53	17	48
54	18	47
55	18	47
56	18	47
57	19	46
58	19	46
59	19	46
60	20	45
61	20	45
62	20	45
63	21	44
64	21	44
65	21	44
66	22	43
67	22	43
68	22	43
69	23	42
70	23	42
71	23	42
72	23	41
73	24	41
74	24	41
75	24	40
76	25	40
77	25	39
78	25	39
79	26	39
80	26	38
81	26	38
82	27	38
83	27	37
84	27	37
85	28	37
86	28	36
87	28	36
88	29	36
89	29	35
90	29	35
91	29	35
92	30	34
93	30	34
94	30	34
95	31	33
96	31	33
97	31	33
98	32	32
99	32	32
100	32	32
101	33	31
102	33	31
103	33	31
104	34	30
105	34	30
106	34	30
107	35	29
108	35	29
109	35	29
110	35	28
111	36	28
112	36	28
113	36	27
114	37	27
115	37	27
116	37	26
117	38	26
118	38	26
119	38	25
120	39	25
121	39	25
122	39	24
123	40	24
124	40	24
125	40	23
126	41	23
127	41	23
128	41	22
129	42	22
130	42	22
131	43	22
132	43	21
133	43	21
134	43	21
135	44	20
136	44	20
137	44	20
138	45	19
139	45	19
140	45	19
141	46	18
142	46	18
143	47	18
144	47	17
145	47	17
146	48	17
147	48	17
148	48	16
149	49	16
150	49	16
151	49	15
152	50	15
153	50	15
154	50	14
155	51	14
156	51	14
157	51	13
158	52	13
159	52	13
160	52	12
161	53	12
162	53	12
163	53	11
164	54	11
165	54	11
166	54	10
167	55	10
168	55	10
169	55	9
170	55	9
171	56	9
172	56	8
173	56	8
174	57	8
175	57	7
176	57	7
177	58	7
178	58	6
179	58	6
180	59	6
181	59	5
182	59	5
183	60	5
184	60	4
185	60	4
186	61	4
187	61	3
188	61	3
189	62	3
190	62	2
191	62	2
192	63	2
193	63	1
194	63	1
195	64	1
196	64	0
197	64	0
198	65	0
199	65	0
